
Parent structure (123 P4/mmm)
a=3.92640, b=3.92640, c=15.18110, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z        occ  
Pb3  1a    0.25000   0.73617  0.07337  1.00000  0.10860  
Pb7  1a    0.25000   0.76383  0.57337  1.00000  0.10860  
Pb2  1a    0.75000   0.23617  0.07337  1.00000  0.10860  
Pb6  1a    0.75000   0.26383  0.57337  1.00000  0.10860  
Pb4  1a    0.75000   0.73617  0.07337  1.00000  0.10860  
Pb8  1a    0.75000   0.76383  0.57337  1.00000  0.10860  
Pb15 1a    0.25000   0.73617  0.92663  1.00000  0.10860  
Pb11 1a    0.25000   0.76383  0.42663  1.00000  0.10860  
Pb13 1a    0.25000   0.23617  0.92663  1.00000  0.10860  
Pb9  1a    0.25000   0.26383  0.42663  1.00000  0.10860  
Pb16 1a    0.75000   0.73617  0.92663  1.00000  0.10860  
Pb12 1a    0.75000   0.76383  0.42663  1.00000  0.10860  
Pb14 1a    0.75000   0.23617  0.92663  1.00000  0.10860  
Pb10 1a    0.75000   0.26383  0.42663  1.00000  0.10860  
Nb1  1a    0.00000  -0.01353  0.00000  1.00000  0.10625  
Nb5  1a    0.00000   0.01353  0.50000  1.00000  0.10625  
Nb3  1a    0.00000   0.48647  0.00000  1.00000  0.10625  
Nb7  1a    0.00000   0.51353  0.50000  1.00000  0.10625  
Nb2  1a    0.50000  -0.01353  0.00000  1.00000  0.10625  
Nb6  1a    0.50000   0.01353  0.50000  1.00000  0.10625  
Nb4  1a    0.50000   0.48647  0.00000  1.00000  0.10625  
Nb8  1a    0.50000   0.51353  0.50000  1.00000  0.10625  
Ta1  1a    0.00000   0.00653  0.14358  1.00000  0.05128  
Ta5  1a    0.00000  -0.00653  0.64358  1.00000  0.05128  
Ta3  1a    0.00000   0.50653  0.14358  1.00000  0.05128  
Ta7  1a    0.00000   0.49347  0.64358  1.00000  0.05128  
Ta2  1a    0.50000   0.00653  0.14358  1.00000  0.05128  
Ta6  1a    0.50000  -0.00653  0.64358  1.00000  0.05128  
Ta4  1a    0.50000   0.50653  0.14358  1.00000  0.05128  
Ta8  1a    0.50000   0.49347  0.64358  1.00000  0.05128  
Ta13 1a    0.00000   0.00653  0.85642  1.00000  0.05128  
Ta9  1a    0.00000  -0.00653  0.35642  1.00000  0.05128  
Ta15 1a    0.00000   0.50653  0.85642  1.00000  0.05128  
Ta11 1a    0.00000   0.49347  0.35642  1.00000  0.05128  
Ta14 1a    0.50000   0.00653  0.85642  1.00000  0.05128  
Ta10 1a    0.50000  -0.00653  0.35642  1.00000  0.05128  
Ta16 1a    0.50000   0.50653  0.85642  1.00000  0.05128  
Ta12 1a    0.50000   0.49347  0.35642  1.00000  0.05128  
O1   1a    0.00000   0.26153  0.00000  1.00000  0.09054  
O5   1a    0.00000   0.23847  0.50000  1.00000  0.09054  
O3   1a    0.00000   0.76153  0.00000  1.00000  0.09054  
O7   1a    0.00000   0.73847  0.50000  1.00000  0.09054  
O2   1a    0.50000   0.26153  0.00000  1.00000  0.09054  
O6   1a    0.50000   0.23847  0.50000  1.00000  0.09054  
O4   1a    0.50000   0.76153  0.00000  1.00000  0.09054  
O8   1a    0.50000   0.73847  0.50000  1.00000  0.09054  
O10  1a    0.75000   0.02661  0.00000  1.00000  0.20896  
O14  1a    0.75000  -0.02661  0.50000  1.00000  0.20896  
