
Parent structure (1 P1)
a=3.90481, b=3.90481, c=15.14470, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z         occ  
O14  1a     0.75000   0.04481  0.50000  1.00000  0.34995  
O12  1a     0.75000   0.54481  0.00000  1.00000  0.34995  
O16  1a     0.75000   0.45519  0.50000  1.00000  0.34995  
O9   1a     0.25000   0.04481  0.00000  1.00000  0.34995  
O13  1a     0.25000  -0.04481  0.50000  1.00000  0.34995  
O11  1a     0.25000   0.45519  0.00000  1.00000  0.34995  
O15  1a     0.25000   0.54481  0.50000  1.00000  0.34995  
O17  1a     0.00000   0.00000  0.06408  1.00000  0.00000  
O21  1a     0.00000   0.00000  0.56408  1.00000  0.00000  
O19  1a     0.00000   0.50000  0.06408  1.00000  0.00000  
O23  1a     0.00000   0.50000  0.56408  1.00000  0.00000  
O18  1a     0.50000   0.00000  0.06408  1.00000  0.00000  
O22  1a     0.50000   0.00000  0.56408  1.00000  0.00000  
O20  1a     0.50000   0.50000  0.06408  1.00000  0.00000  
O24  1a     0.50000   0.50000  0.56408  1.00000  0.00000  
O29  1a     0.00000   0.00000  0.93592  1.00000  0.00000  
O25  1a     0.00000   0.00000  0.43592  1.00000  0.00000  
O31  1a     0.00000   0.50000  0.93592  1.00000  0.00000  
O27  1a     0.00000   0.50000  0.43592  1.00000  0.00000  
O30  1a     0.50000   0.00000  0.93592  1.00000  0.00000  
O26  1a     0.50000   0.00000  0.43592  1.00000  0.00000  
O32  1a     0.50000   0.50000  0.93592  1.00000  0.00000  
O28  1a     0.50000   0.50000  0.43592  1.00000  0.00000  
O35  1a    -0.00063   0.75000  0.12495  1.00000  0.00492  
O39  1a     0.00063   0.75000  0.62495  1.00000  0.00492  
O33  1a     0.00063   0.25000  0.12495  1.00000  0.00492  
O37  1a    -0.00063   0.25000  0.62495  1.00000  0.00492  
O36  1a     0.50063   0.75000  0.12495  1.00000  0.00492  
O40  1a     0.49937   0.75000  0.62495  1.00000  0.00492  
O34  1a     0.49937   0.25000  0.12495  1.00000  0.00492  
O38  1a     0.50063   0.25000  0.62495  1.00000  0.00492  
O42  1a     0.75000   0.00063  0.12495  1.00000  0.00492  
O46  1a     0.75000  -0.00063  0.62495  1.00000  0.00492  
O44  1a     0.75000   0.49937  0.12495  1.00000  0.00492  
O48  1a     0.75000   0.50063  0.62495  1.00000  0.00492  
O41  1a     0.25000  -0.00063  0.12495  1.00000  0.00492  
O45  1a     0.25000   0.00063  0.62495  1.00000  0.00492  
O43  1a     0.25000   0.50063  0.12495  1.00000  0.00492  
O47  1a     0.25000   0.49937  0.62495  1.00000  0.00492  
O55  1a    -0.00063   0.75000  0.87505  1.00000  0.00492  
O51  1a     0.00063   0.75000  0.37505  1.00000  0.00492  
O53  1a     0.00063   0.25000  0.87505  1.00000  0.00492  
O49  1a    -0.00063   0.25000  0.37505  1.00000  0.00492  
O56  1a     0.50063   0.75000  0.87505  1.00000  0.00492  
O52  1a     0.49937   0.75000  0.37505  1.00000  0.00492  
O54  1a     0.49937   0.25000  0.87505  1.00000  0.00492  
O50  1a     0.50063   0.25000  0.37505  1.00000  0.00492  
O62  1a     0.75000   0.00063  0.87505  1.00000  0.00492  
O58  1a     0.75000  -0.00063  0.37505  1.00000  0.00492  
O64  1a     0.75000   0.49937  0.87505  1.00000  0.00492  
O60  1a     0.75000   0.50063  0.37505  1.00000  0.00492  
O61  1a     0.25000  -0.00063  0.87505  1.00000  0.00492  
O57  1a     0.25000   0.00063  0.37505  1.00000  0.00492  
O63  1a     0.25000   0.50063  0.87505  1.00000  0.00492  
O59  1a     0.25000   0.49937  0.37505  1.00000  0.00492  
O65  1a     0.00000   0.00000  0.19732  1.00000  0.00000  
O69  1a     0.00000   0.00000  0.69732  1.00000  0.00000  
O67  1a     0.00000   0.50000  0.19732  1.00000  0.00000  
O71  1a     0.00000   0.50000  0.69732  1.00000  0.00000  
O66  1a     0.50000   0.00000  0.19732  1.00000  0.00000  
O70  1a     0.50000   0.00000  0.69732  1.00000  0.00000  
O68  1a     0.50000   0.50000  0.19732  1.00000  0.00000  
O72  1a     0.50000   0.50000  0.69732  1.00000  0.00000  
O77  1a     0.00000   0.00000  0.80268  1.00000  0.00000  
O73  1a     0.00000   0.00000  0.30268  1.00000  0.00000  
O79  1a     0.00000   0.50000  0.80268  1.00000  0.00000  
O75  1a     0.00000   0.50000  0.30268  1.00000  0.00000  
O78  1a     0.50000   0.00000  0.80268  1.00000  0.00000  
O74  1a     0.50000   0.00000  0.30268  1.00000  0.00000  
O80  1a     0.50000   0.50000  0.80268  1.00000  0.00000  
O76  1a     0.50000   0.50000  0.30268  1.00000  0.00000  
 
Displacive mode definitions
atom    x        y        z        dx      dy      dz   
P1[0,0,0]GM1(a)[Cs1:a:dsp]A_1(a) normfactor = 0.04527
Cs4   0.75000  0.75000  0.25000 -1.0000  0.0000  0.0000 
Cs8   0.75000  0.75000  0.75000 -1.0000  0.0000  0.0000 
Cs2   0.75000  0.25000  0.25000 -1.0000  0.0000  0.0000 
Cs6   0.75000  0.25000  0.75000 -1.0000  0.0000  0.0000 
Cs3   0.25000  0.75000  0.25000 -1.0000  0.0000  0.0000 
Cs7   0.25000  0.75000  0.75000 -1.0000  0.0000  0.0000 
Cs1   0.25000  0.25000  0.25000 -1.0000  0.0000  0.0000 
Cs5   0.25000  0.25000  0.75000 -1.0000  0.0000  0.0000 
 
P1[0,0,0]GM1(a)[Cs1:a:dsp]A_2(a) normfactor = 0.04527
Cs4   0.75000  0.75000  0.25000  0.0000 -1.0000  0.0000 
Cs8   0.75000  0.75000  0.75000  0.0000 -1.0000  0.0000 
Cs2   0.75000  0.25000  0.25000  0.0000 -1.0000  0.0000 
Cs6   0.75000  0.25000  0.75000  0.0000 -1.0000  0.0000 
Cs3   0.25000  0.75000  0.25000  0.0000 -1.0000  0.0000 
Cs7   0.25000  0.75000  0.75000  0.0000 -1.0000  0.0000 
Cs1   0.25000  0.25000  0.25000  0.0000 -1.0000  0.0000 
Cs5   0.25000  0.25000  0.75000  0.0000 -1.0000  0.0000 
 
P1[0,0,0]GM1(a)[Cs1:a:dsp]A_3(a) normfactor = 0.01167
Cs4   0.75000  0.75000  0.25000  0.0000  0.0000  1.0000 
Cs8   0.75000  0.75000  0.75000  0.0000  0.0000  1.0000 
Cs2   0.75000  0.25000  0.25000  0.0000  0.0000  1.0000 
Cs6   0.75000  0.25000  0.75000  0.0000  0.0000  1.0000 
Cs3   0.25000  0.75000  0.25000  0.0000  0.0000  1.0000 
Cs7   0.25000  0.75000  0.75000  0.0000  0.0000  1.0000 
Cs1   0.25000  0.25000  0.25000  0.0000  0.0000  1.0000 
Cs5   0.25000  0.25000  0.75000  0.0000  0.0000  1.0000 
 
P1[0,0,0]GM1(a)[Ca1:a:dsp]A_1(a) normfactor = 0.04527
Ca4   0.75000  0.75000  0.07405 -1.0000  0.0000  0.0000 
Ca8   0.75000  0.75000  0.57405 -1.0000  0.0000  0.0000 
Ca2   0.75000  0.25000  0.07405 -1.0000  0.0000  0.0000 
Ca6   0.75000  0.25000  0.57405 -1.0000  0.0000  0.0000 
Ca3   0.25000  0.75000  0.07405 -1.0000  0.0000  0.0000 
Ca7   0.25000  0.75000  0.57405 -1.0000  0.0000  0.0000 
Ca1   0.25000  0.25000  0.07405 -1.0000  0.0000  0.0000 
Ca5   0.25000  0.25000  0.57405 -1.0000  0.0000  0.0000 
 
P1[0,0,0]GM1(a)[Ca1:a:dsp]A_2(a) normfactor = 0.04527
Ca4   0.75000  0.75000  0.07405  0.0000 -1.0000  0.0000 
Ca8   0.75000  0.75000  0.57405  0.0000 -1.0000  0.0000 
Ca2   0.75000  0.25000  0.07405  0.0000 -1.0000  0.0000 
Ca6   0.75000  0.25000  0.57405  0.0000 -1.0000  0.0000 
Ca3   0.25000  0.75000  0.07405  0.0000 -1.0000  0.0000 
Ca7   0.25000  0.75000  0.57405  0.0000 -1.0000  0.0000 
Ca1   0.25000  0.25000  0.07405  0.0000 -1.0000  0.0000 
Ca5   0.25000  0.25000  0.57405  0.0000 -1.0000  0.0000 
 
P1[0,0,0]GM1(a)[Ca1:a:dsp]A_3(a) normfactor = 0.01167
Ca4   0.75000  0.75000  0.07405  0.0000  0.0000  1.0000 
Ca8   0.75000  0.75000  0.57405  0.0000  0.0000  1.0000 
Ca2   0.75000  0.25000  0.07405  0.0000  0.0000  1.0000 
Ca6   0.75000  0.25000  0.57405  0.0000  0.0000  1.0000 
Ca3   0.25000  0.75000  0.07405  0.0000  0.0000  1.0000 
Ca7   0.25000  0.75000  0.57405  0.0000  0.0000  1.0000 
Ca1   0.25000  0.25000  0.07405  0.0000  0.0000  1.0000 
Ca5   0.25000  0.25000  0.57405  0.0000  0.0000  1.0000 
 
P1[0,0,0]GM1(a)[Ca2:a:dsp]A_1(a) normfactor = 0.04527
Ca16  0.75000  0.75000  0.92595 -1.0000  0.0000  0.0000 
Ca12  0.75000  0.75000  0.42595 -1.0000  0.0000  0.0000 
Ca14  0.75000  0.25000  0.92595 -1.0000  0.0000  0.0000 
Ca10  0.75000  0.25000  0.42595 -1.0000  0.0000  0.0000 
Ca15  0.25000  0.75000  0.92595 -1.0000  0.0000  0.0000 
Ca11  0.25000  0.75000  0.42595 -1.0000  0.0000  0.0000 
Ca13  0.25000  0.25000  0.92595 -1.0000  0.0000  0.0000 
Ca9   0.25000  0.25000  0.42595 -1.0000  0.0000  0.0000 
 
P1[0,0,0]GM1(a)[Ca2:a:dsp]A_2(a) normfactor = 0.04527
Ca16  0.75000  0.75000  0.92595  0.0000 -1.0000  0.0000 
Ca12  0.75000  0.75000  0.42595  0.0000 -1.0000  0.0000 
Ca14  0.75000  0.25000  0.92595  0.0000 -1.0000  0.0000 
Ca10  0.75000  0.25000  0.42595  0.0000 -1.0000  0.0000 
Ca15  0.25000  0.75000  0.92595  0.0000 -1.0000  0.0000 
Ca11  0.25000  0.75000  0.42595  0.0000 -1.0000  0.0000 
Ca13  0.25000  0.25000  0.92595  0.0000 -1.0000  0.0000 
Ca9   0.25000  0.25000  0.42595  0.0000 -1.0000  0.0000 
 
P1[0,0,0]GM1(a)[Ca2:a:dsp]A_3(a) normfactor = 0.01167
Ca16  0.75000  0.75000  0.92595  0.0000  0.0000  1.0000 
Ca12  0.75000  0.75000  0.42595  0.0000  0.0000  1.0000 
Ca14  0.75000  0.25000  0.92595  0.0000  0.0000  1.0000 
Ca10  0.75000  0.25000  0.42595  0.0000  0.0000  1.0000 
Ca15  0.25000  0.75000  0.92595  0.0000  0.0000  1.0000 
Ca11  0.25000  0.75000  0.42595  0.0000  0.0000  1.0000 
Ca13  0.25000  0.25000  0.92595  0.0000  0.0000  1.0000 
Ca9   0.25000  0.25000  0.42595  0.0000  0.0000  1.0000 
 
P1[0,0,0]GM1(a)[Nb1:a:dsp]A_1(a) normfactor = 0.04527
Nb1   0.00000  0.00000  0.00000 -1.0000  0.0000  0.0000 
Nb5   0.00000  0.00000  0.50000 -1.0000  0.0000  0.0000 
Nb3   0.00000  0.50000  0.00000 -1.0000  0.0000  0.0000 
Nb7   0.00000  0.50000  0.50000 -1.0000  0.0000  0.0000 
Nb2   0.50000  0.00000  0.00000 -1.0000  0.0000  0.0000 
Nb6   0.50000  0.00000  0.50000 -1.0000  0.0000  0.0000 
Nb4   0.50000  0.50000  0.00000 -1.0000  0.0000  0.0000 
Nb8   0.50000  0.50000  0.50000 -1.0000  0.0000  0.0000 
 
P1[0,0,0]GM1(a)[Nb1:a:dsp]A_2(a) normfactor = 0.04527
Nb1   0.00000  0.00000  0.00000  0.0000 -1.0000  0.0000 
Nb5   0.00000  0.00000  0.50000  0.0000 -1.0000  0.0000 
Nb3   0.00000  0.50000  0.00000  0.0000 -1.0000  0.0000 
Nb7   0.00000  0.50000  0.50000  0.0000 -1.0000  0.0000 
Nb2   0.50000  0.00000  0.00000  0.0000 -1.0000  0.0000 
Nb6   0.50000  0.00000  0.50000  0.0000 -1.0000  0.0000 
Nb4   0.50000  0.50000  0.00000  0.0000 -1.0000  0.0000 
Nb8   0.50000  0.50000  0.50000  0.0000 -1.0000  0.0000 
 
P1[0,0,0]GM1(a)[Nb1:a:dsp]A_3(a) normfactor = 0.01167
Nb1   0.00000  0.00000  0.00000  0.0000  0.0000  1.0000 
Nb5   0.00000  0.00000  0.50000  0.0000  0.0000  1.0000 
Nb3   0.00000  0.50000  0.00000  0.0000  0.0000  1.0000 
Nb7   0.00000  0.50000  0.50000  0.0000  0.0000  1.0000 
Nb2   0.50000  0.00000  0.00000  0.0000  0.0000  1.0000 
Nb6   0.50000  0.00000  0.50000  0.0000  0.0000  1.0000 
Nb4   0.50000  0.50000  0.00000  0.0000  0.0000  1.0000 
Nb8   0.50000  0.50000  0.50000  0.0000  0.0000  1.0000 
 
P1[0,0,0]GM1(a)[Nb2:a:dsp]A_1(a) normfactor = 0.04527
Nb9   0.00000  0.00000  0.13883 -1.0000  0.0000  0.0000 
Nb13  0.00000  0.00000  0.63883 -1.0000  0.0000  0.0000 
Nb11  0.00000  0.50000  0.13883 -1.0000  0.0000  0.0000 
Nb15  0.00000  0.50000  0.63883 -1.0000  0.0000  0.0000 
Nb10  0.50000  0.00000  0.13883 -1.0000  0.0000  0.0000 
Nb14  0.50000  0.00000  0.63883 -1.0000  0.0000  0.0000 
Nb12  0.50000  0.50000  0.13883 -1.0000  0.0000  0.0000 
Nb16  0.50000  0.50000  0.63883 -1.0000  0.0000  0.0000 
 
